id,addr
2,"400 Northumberland Avenue, Redwood Oaks, Redwood City"
3,"18300 Sutter Boulevard, Morgan Hill"
5,"3200 Huntsman Drive, Rosemont Park, Sacramento"
6,"100 Carlsbad Circle, Vacaville"
7,"Unnamed Road, Vacaville"
8,"700 Carlsbad Court, Petaluma"
9,"500 Hyde Street, Tenderloin, San Francisco"
10,"3200 Nightingale Drive, Modesto"
11,"0 Mesa Vista Court, San Ramon"
12,"Gate 1 Entrance Road, Calistoga"
13,"1400 Eureka Road, Lead Hill, Roseville"
14,"900 Crestview Street, Salinas"
16,"600 9th Street, Pacific Grove"
17,"200 Vía Gayuba, Monterey"
20,"900 Sutter Street, Lower Nob Hill, San Francisco"
21,"3400 Pierce Street, Marina District, San Francisco"
23,"300 East Bell Avenue, Fairfield"
24,"400 Cinnamon Way, Suisun City"
25,"400 Bowline Drive, Vacaville"
26,"Cornell Street, Sonoma"
27,"Entrada, Santa Rosa"
28,"9300 Lakewood Drive, Windsor"
30,"2200 Central Avenue, Alameda"
31,"5900 San Diego Street, El Cerrito"
36,"1900 Carnation Way, Manteca"
37,"1800 Newcastle Drive, South Los Altos, Los Altos"
38,"Unnamed Road, Mount Hamilton"
39,"Maxwell Al, Vallejo"
40,"1800 Blossom Avenue, Fairfield"
41,"1700 Felicia Lane, Concord"
42,"7400 Northland Avenue, San Ramon"
43,"1600 Folsom Avenue, San Pablo"
44,"1700 Egbert Avenue, Bayview, San Francisco"
46,"500 Chester Street, West Oakland, Oakland"
47,"9700 Birch Street, Cox, Oakland"
48,"2800 E Street, Central Sacramento, Sacramento"
52,"2800 Gay Avenue, East San Jose, San Jose"
55,"6100 Plymouth Avenue, Richmond"
56,"Wildcat Marsh Trail, Richmond"
57,"1700 Bayo Vista Avenue, San Pablo"
58,"5600 Genoa Street, Santa Fe, Oakland"
59,"4900 Antioch Street, Union City"
60,"33900 Emilia Lane, Ardenwood, Fremont"
61,"5400 Ridgewood Drive, Ardenwood, Fremont"
62,"3500 Ellery Common, Central District, Fremont"
63,"39300 Wilford Street, Sundale, Fremont"
64,"5200 Selma Avenue, Centerville, Fremont"
65,"42600 Everglades Park Drive, Blacow, Fremont"
66,"4100 Piedmont Terrace, Vineyards - Avalon, Fremont"
69,"1100 Prospect Street, Seaside"
73,"2100 Fieldcrest Avenue, Fairfield"
74,"300 West Humboldt Street, Central San Jose, San Jose"
75,"0 Napa Road, Sonoma"
76,"700 Lakeville Circle, Petaluma"
77,"2000 Harmil Way, Central San Jose, San Jose"
78,"1400 Thomas Avenue, Bayview, San Francisco"
79,"1500 California Street, Polk Gulch, San Francisco"
80,"0 Farren Street, Western Addition, San Francisco"
81,"0 Berkeley Way, Diamond Heights, San Francisco"
82,"2700 25th Street, Mission District, San Francisco"
83,"300 Mason Street, Healdsburg"
86,"300 Ruth Avenue, Monta Loma, Mountain View"
87,"2200 Wyandotte Street, Mountain View"
88,"300 East 9th Street, Gilroy"
89,"100 Berry Street, Santa Cruz"
90,"300 Heathcliff Drive, Westview, Pacifica"
91,"700 Industrial Road, San Carlos"
92,"Lincoln Highway, West Sacramento"
93,"27200 Meadowbrook Drive, Old Willowbank, Davis"
94,"1100 Cornell Drive, Sycamore South, Davis"
96,"2200 Bonar Street, Poets Corner, Berkeley"
97,"600 Hilldale Avenue, Berkeley Hills, Berkeley"
98,"500 10th Street, Downtown Oakland, Oakland"
99,"2400 19th Avenue, Highland Terrace, Oakland"
100,"3100 Overlook Way, Richmond"
101,"1300 17th Street, San Pablo"
102,"500 Mount Street, East Richmond, Richmond"
103,"35500 Ebro Court, Centerville, Fremont"
104,"4300 Baine Avenue, Centerville, Fremont"
105,"39000 State Street, Central District, Fremont"
107,"1900 Sandcreek Way, Alameda"
108,"400 West Sunset Boulevard, Hayward"
109,"200 Ramona Avenue, El Cerrito"
111,"1000 Salmon Drive, Cirby Side, Roseville"
113,"1200 Hayes Street, Western Addition, San Francisco"
115,"3600 Farnham Court, Tracy"
116,"1000 Fulton Street, Roosevelt, Redwood City"
117,"100 Edgemar Street, Crocker, Daly City"
118,"1500 Sunnyslope Avenue, Belmont"
119,"1100 Rosewood Avenue, San Carlos"
122,"Unnamed Road, Isleton"
123,"20000 Merritt Drive, Cupertino"
125,"4300 Silva Court, Palo Alto"
126,"2300 Oak Harbour Drive, North Sacramento, Sacramento"
127,"2000 Waverley Street, Old Palo Alto, Palo Alto"
128,"1900 Stowe Avenue, Alum Rock, San Jose"
131,"1100 South 8th Street, Central San Jose, San Jose"
132,"1000 Glenfinnan Drive, South San Jose, San Jose"
133,"2100 South 10th Street, South San Jose, San Jose"
134,"1100 Littleoak Circle, West San Jose, San Jose"
135,"100 Texas Street, Travis Air Force Base, Fairfield"
136,"5800 Leisure Town Road, Vacaville"
137,"700 Dellwood Court, Vacaville"
138,"0 Maria Drive, Petaluma"
141,"3500 Brooks Avenue, Santa Rosa"
142,"400 Steele Lane, West Junior College, Santa Rosa"
143,"1300 14th Street, Junior College Neighborhood Association, Santa Rosa"
146,"1500 Menlo Avenue, Napa"
147,"1000 Cunningham Street, Ukiah"
150,"36700 Z Line Road, Clarksburg"
151,"500 20th Street, Downtown Oakland, Oakland"
152,"10400 Lansdale Avenue, Cupertino"
153,"400 Giannini Drive, Santa Clara"
154,"800 Rattan Terrace, Ponderosa Park, Sunnyvale"
155,"400 North Mary Avenue, Sunnyvale West, Sunnyvale"
156,"Chynoweth Avenue, South San Jose, San Jose"
157,"100 Cheltenham Way, South San Jose, San Jose"
158,"1700 Klamath Drive, Salinas"
159,"600 San Jon Road, Salinas"
160,"Canyon Del Rey Boulevard, Del Rey Oaks"
165,"2200 Franklin Street, Pacific Heights, San Francisco"
167,"300 Stoakes Avenue, Farrelly Pond District, San Leandro"
168,"14700 Doolittle Drive, Marina Faire, San Leandro"
169,"900 Rose Street, North Hayward, Hayward"
170,"800 Downswood Court, South San Jose, San Jose"
171,"3300 Betty Lane, Lafayette"
172,"100 Zanzibar Drive, Aptos"
173,"3100 Garden Avenue, South San Jose, San Jose"
174,"2600 Sibelius Avenue, Evergreen, San Jose"
175,"500 North 7th Street, Central San Jose, San Jose"
176,"500 Hull Avenue, Central San Jose, San Jose"
177,"3500 Willow Road, Bethel Island"
178,"600 Sonoma Avenue, Livermore"
179,"4700 Orange Grove Avenue, Sacramento"
181,"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland"
182,"1500 3rd Street, Napa"
184,"0 South Almaden Boulevard, Central San Jose, San Jose"
186,"1800 Vicente Street, Sunset District, San Francisco"
187,"300 Springpark Circle, South San Jose, San Jose"
188,"1500 4th Street, Central Sacramento, Sacramento"
191,"2600 Kelley Avenue, San Pablo"
193,"700 Altino Boulevard, South San Jose, San Jose"
194,"600 Aileen Street, Upper Telegraph, Oakland"
195,"47400 Fernald Street, Warm Springs, Fremont"
196,"4800 Ganner Court, Pleasanton"
198,"200 Hillcrest Avenue, Livermore"
199,"900 Jessica Drive, Livermore"
204,"200 Chaparral Street, Salinas"
206,"1300 15th Street, Mission District, San Francisco"
207,"1100 Guerrero Street, Mission District, San Francisco"
208,"600 Alabama Street, Mission District, San Francisco"
209,"300 Wilde Avenue, Visitacion Valley, San Francisco"
210,"100 Ramsell Street, Oceanview, San Francisco"
211,"200 16th Avenue, Richmond District, San Francisco"
212,"500 Washington Street, Financial District, San Francisco"
215,"400 Martinelli Street, Watsonville"
